id;name;governorate;is_governorate;archivated
1;aggregate;a generate Salad;true;false
2;salmon c;copying User-centric;true;true
3;transparent;Rubber d'Azur;true;true
4;Borders eyeballs b;b Cambridgeshire Coordinateur;false;true
5;Car Outdoors reboot;deposit Dinar Fresh;false;false
6;withdrawal primary;Assimilated;true;true
7;Electronics Soft de;Computers;true;true
8;Stagiaire indigo Ball;array;false;false
9;Consultant next withdrawal;Practical Sheqel c;true;true
10;yellow empower compress;Molière;false;true
