id;nature;date;url_enclosed;url_enclosed_content_type;archivated;establishment_id
1;Computer encompassing Tugrik;2022-06-05;../fake-data/blob/hipster.png;image/png;false;1
2;b redundant Grèce;2022-06-06;../fake-data/blob/hipster.png;image/png;true;2
3;payment connecting;2022-06-06;../fake-data/blob/hipster.png;image/png;false;3
4;sky;2022-06-05;../fake-data/blob/hipster.png;image/png;true;4
5;intermediate;2022-06-06;../fake-data/blob/hipster.png;image/png;true;5
6;Berkshire Steel;2022-06-06;../fake-data/blob/hipster.png;image/png;false;6
7;neural b Mandatory;2022-06-05;../fake-data/blob/hipster.png;image/png;false;7
8;interactive;2022-06-05;../fake-data/blob/hipster.png;image/png;false;8
9;orchid;2022-06-06;../fake-data/blob/hipster.png;image/png;true;9
10;24/365;2022-06-05;../fake-data/blob/hipster.png;image/png;true;10
