id;beginning_year;end_year;annual_result;result;remarks;attached_file;attached_file_content_type;archivated;school_level_id;child_id;educational_institution_id
1;robust Granite;protocol;16556;REPEATING;Loan feed upward-trending;../fake-data/blob/hipster.png;image/png;true;1;1;1
2;copying;deposit Assistant;96574;REPEATING;Aquitaine;../fake-data/blob/hipster.png;image/png;false;2;2;2
3;Handcrafted Health Saint-Dominique;invoice;1033;REPEATING;Plastic;../fake-data/blob/hipster.png;image/png;false;3;3;3
4;mobile Balanced Fundamental;Cap-Vert;62620;REPEATING;Aquitaine;../fake-data/blob/hipster.png;image/png;false;4;4;4
5;transmit tan real-time;Plastic redundant;65546;REPEATING;Tasty background Account;../fake-data/blob/hipster.png;image/png;true;5;5;5
6;bus RSS;synergies architecture;87041;ADMITTED;middleware RSS Cotton;../fake-data/blob/hipster.png;image/png;true;6;6;6
7;Shoes;B2B;69315;NEW;payment des;../fake-data/blob/hipster.png;image/png;false;7;7;7
8;b bus generate;Licensed Bourgogne radical;96320;NEW;COM hub redundant;../fake-data/blob/hipster.png;image/png;false;8;8;8
9;Virtual;Hat mobile;20920;NEW;Cotton Handcrafted violet;../fake-data/blob/hipster.png;image/png;false;9;9;9
10;Digitized;Alsace real-time Account;89922;REPEATING;robust encryption Account;../fake-data/blob/hipster.png;image/png;true;10;10;10
